CustID,CustMonVal,ClaimsRate,IMP_Children,IMP_EducDeg,IMP_GeoLivArea,IMP_MonthSal,age,policy_time,reversals,_SEGMENT_,Distance,EM_SEGMENT
1,380.97,0.39,1,2 - High School,1,2177,34,31,0,4,0.6683814394,4
2,-131.13,1.12,1,2 - High School,4,677,21,35,0,2,2.0207677672,2
3,504.67,0.28,0,1 - Basic,3,2277,46,25,0,4,1.1673906334,4
4,-16.99,0.99,1,3 - BSc/MSc,4,1099,35,26,0,3,0.8196150538,3
5,35.23,0.9,1,3 - BSc/MSc,4,1763,43,30,0,3,0.8719889043,3
6,-24.33,1,1,2 - High School,4,2566,60,30,0,2,1.0624942195,2
7,-66.01,1.05,0,2 - High School,4,4103,73,37,0,2,1.6969812485,2
8,-144.91,1.13,1,2 - High School,4,1743,42,28,0,3,1.147194906,3
9,356.53,0.36,1,3 - BSc/MSc,1,1862,38,35,0,4,0.8673279888,4
10,-119.35,1.12,0,3 - BSc/MSc,1,3842,68,40,0,2,1.6079176337,2
11,290.17,0.53,0,3 - BSc/MSc,4,3995,71,26,0,1,0.6183706333,1
12,405.74,0.46,1,3 - BSc/MSc,3,2834,58,31,0,4,0.8771972504,4
13,2.34,0.97,0,3 - BSc/MSc,1,3757,67,35,0,2,1.3159965487,2
14,-75.12,1.06,1,1 - Basic,3,1043,16,33,0,3,1.6070179658,3
15,-89,1.12,1,2 - High School,1,1981,41,33,1,2,0.9630934124,2
16,290.06,0.53,1,3 - BSc/MSc,4,974,37,28,1,3,1.1072516111,3
17,100.58,0.89,1,2 - High School,1,2437,27,25,0,3,0.7729292892,3
18,78.91,0.85,1,3 - BSc/MSc,4,2728,46,35,0,2,0.3483325655,2
19,230.38,0.71,1,1 - Basic,3,1414,34,35,0,2,1.3253589353,2
20,352.96,0.36,1,4 - PhD,1,2751,54,28,0,1,1.0665186665,1
21,373.73,0.39,1,4 - PhD,4,1704,30,30,0,4,0.9067261178,4
22,111.37,0.8,1,2 - High School,3,2501.5,58,39,0,2,0.4099755658,2
23,-89.79,1.08,1,2 - High School,1,1495,30,40,0,2,1.2849407301,2
24,290.05,0.64,1,2 - High School,4,2870,55,18,0,1,1.3623892858,1
25,108.13,0.81,0,3 - BSc/MSc,4,3201,64,28,0,1,0.6040026026,1
26,376.3,0.41,0,4 - PhD,2,3776,72,42,0,2,1.9681738111,2
27,430.86,0.38,0,4 - PhD,3,4281,79,38,1,1,2.2489507203,1
28,-7.22,0.97,0,4 - PhD,1,3619,74,37,0,2,1.1619784741,2
29,264.17,0.5,0,3 - BSc/MSc,4,3639,64,21,2,1,0.7411018105,1
30,2,0.96,0,3 - BSc/MSc,3,2660,44,36,1,2,0.2880152381,2
31,427.76,0.19,1,2 - High School,4,2148,41,28,2,4,0.8276793964,4
32,240.16,0.69,0,2 - High School,4,3490,63,32,0,1,1.0042704132,1
33,-2.44,0.96,1,3 - BSc/MSc,4,2126,46,27,0,3,0.7413954699,3
34,-5.55,0.97,1,2 - High School,1,1601,37,29,0,3,0.8175675009,3
35,336.07,0.48,0,3 - BSc/MSc,3,3662,71,37,0,2,1.6031366318,2
36,53.8,0.89,0,2 - High School,3,2420,50,26,0,3,0.8167820301,3
37,7.24,0.94,1,2 - High School,4,2401,44,34,1,2,0.4635831891,2
38,-31.78,1.01,0,2 - High School,1,3343,61,40,0,2,1.050369046,2
39,-14.22,0.98,0,2 - High School,3,3985,75,31,0,1,1.2637500759,1
40,-1.55,0.96,0,3 - BSc/MSc,1,3858,78,36,0,2,1.3990621267,2
41,121.36,0.84,1,2 - High School,4,1177,21,22,0,3,0.6558230126,3
42,402.63,0.47,1,3 - BSc/MSc,1,3256,61,28,0,1,0.9372960711,1
43,710.8,0.19,1,2 - High School,4,2116,48,22,0,4,1.745685361,4
44,-77.01,1.07,1,2 - High School,2,1353,34,22,0,3,0.9278296929,3
45,-128.68,1.19,1,3 - BSc/MSc,1,1065,26,31,1,3,1.4978112265,3
46,624.34,0.38,1,3 - BSc/MSc,3,1937,32,25,0,4,1.2290675971,4
47,-94.9,1.08,1,3 - BSc/MSc,4,1219,30,40,0,2,1.5272504803,2
48,279.28,0.63,0,2 - High School,3,4233,78,39,0,2,1.9907256609,2
49,-132.88,1.2,1,3 - BSc/MSc,3,2381,42,31,1,2,1.1461276417,2
50,-21.11,0.99,1,2 - High School,1,2660,38,30,0,2,1.06846127,2
51,420.64,0.32,1,3 - BSc/MSc,4,1569,37,33,0,4,0.7848069579,4
53,-104.21,1.14,1,3 - BSc/MSc,3,1960,32,30,1,3,1.218874724,3
54,-11.33,0.98,1,2 - High School,1,1148,36,33,0,3,1.4626689351,3
55,264.5,0.59,0,3 - BSc/MSc,3,3441,70,23,0,1,0.470367815,1
56,-15.22,0.98,1,3 - BSc/MSc,2,2885,50,21,1,1,1.2452781015,1
57,540.55,0.13,1,3 - BSc/MSc,4,2234,51,21,0,4,1.7623558843,4
58,294.94,0.66,0,2 - High School,4,3538,67,24,0,1,0.4518372763,1
59,448.98,0.41,1,2 - High School,2,2920,60,38,0,4,1.1596875678,4
60,120.48,0.81,1,2 - High School,3,2195,32,19,0,3,1.0070487367,3
61,226.93,0.68,1,3 - BSc/MSc,4,4109,73,33,0,1,1.2952556262,1
62,224.5,0.68,1,2 - High School,1,1823,38,23,0,3,0.5093794549,3
63,-67.32,1.08,1,3 - BSc/MSc,3,3762,59,35,1,2,1.3922700355,2
64,314.51,0.61,1,2 - High School,4,3259,49,29,0,1,0.7571407981,1
65,-124.32,1.19,0,3 - BSc/MSc,3,2294,43,34,2,2,0.8490753418,2
66,132.27,0.78,0,3 - BSc/MSc,1,3760,75,18,1,1,1.1851195153,1
67,-25,1,1,3 - BSc/MSc,3,2544,48,32,0,2,0.7796785956,2
68,-90.01,1.06,1,2 - High School,1,1866,32,27,0,3,0.9064093982,3
