CustID,CustMonVal,ClaimsRate,IMP_Children,IMP_EducDeg,IMP_GeoLivArea,IMP_MonthSal,age,policy_time,reversals,_SEGMENT_,Distance,EM_SEGMENT
1,380.97,0.39,1,2 - High School,1,2177,34,31,0,3,0.5234885602,3
2,-131.13,1.12,1,2 - High School,4,677,21,35,0,2,1.4426994342,2
3,504.67,0.28,0,1 - Basic,3,2277,46,25,0,3,0.7679930198,3
4,-16.99,0.99,1,3 - BSc/MSc,4,1099,35,26,0,2,0.9689731328,2
5,35.23,0.9,1,3 - BSc/MSc,4,1763,43,30,0,2,0.0793762012,2
6,-24.33,1,1,2 - High School,4,2566,60,30,0,2,0.8781749419,2
7,-66.01,1.05,0,2 - High School,4,4103,73,37,0,1,1.5164412168,1
8,-144.91,1.13,1,2 - High School,4,1743,42,28,0,2,0.811893735,2
9,356.53,0.36,1,3 - BSc/MSc,1,1862,38,35,0,3,1.0123734545,3
10,-119.35,1.12,0,3 - BSc/MSc,1,3842,68,40,0,1,1.9145255321,1
11,290.17,0.53,0,3 - BSc/MSc,4,3995,71,26,0,1,0.9400402554,1
12,405.74,0.46,1,3 - BSc/MSc,3,2834,58,31,0,3,0.8024556281,3
13,2.34,0.97,0,3 - BSc/MSc,1,3757,67,35,0,1,1.0212896621,1
14,-75.12,1.06,1,1 - Basic,3,1043,16,33,0,2,0.920665154,2
15,-89,1.12,1,2 - High School,1,1981,41,33,1,2,0.6730531727,2
16,290.06,0.53,1,3 - BSc/MSc,4,974,37,28,1,2,1.3125791753,2
17,100.58,0.89,1,2 - High School,1,2437,27,25,0,2,1.1196932719,2
18,78.91,0.85,1,3 - BSc/MSc,4,2728,46,35,0,1,1.1744137071,1
19,230.38,0.71,1,1 - Basic,3,1414,34,35,0,2,1.0680173747,2
20,352.96,0.36,1,4 - PhD,1,2751,54,28,0,3,0.9043372501,3
21,373.73,0.39,1,4 - PhD,4,1704,30,30,0,3,0.7109765591,3
22,111.37,0.8,1,2 - High School,3,2501.5,58,39,0,2,1.5296785976,2
23,-89.79,1.08,1,2 - High School,1,1495,30,40,0,2,1.5455194273,2
24,290.05,0.64,1,2 - High School,4,2870,55,18,0,1,1.9503033549,1
25,108.13,0.81,0,3 - BSc/MSc,4,3201,64,28,0,1,0.4004583899,1
26,376.3,0.41,0,4 - PhD,2,3776,72,42,0,1,2.1321995057,1
27,430.86,0.38,0,4 - PhD,3,4281,79,38,1,1,1.899233856,1
28,-7.22,0.97,0,4 - PhD,1,3619,74,37,0,1,1.2768640386,1
29,264.17,0.5,0,3 - BSc/MSc,4,3639,64,21,2,1,1.3842850203,1
30,2,0.96,0,3 - BSc/MSc,3,2660,44,36,1,2,1.2611618404,2
31,427.76,0.19,1,2 - High School,4,2148,41,28,2,3,0.4418764168,3
32,240.16,0.69,0,2 - High School,4,3490,63,32,0,1,0.5547107279,1
33,-2.44,0.96,1,3 - BSc/MSc,4,2126,46,27,0,2,0.6779583602,2
34,-5.55,0.97,1,2 - High School,1,1601,37,29,0,2,0.318796124,2
35,336.07,0.48,0,3 - BSc/MSc,3,3662,71,37,0,1,1.3882433197,1
36,53.8,0.89,0,2 - High School,3,2420,50,26,0,2,0.9720118692,2
37,7.24,0.94,1,2 - High School,4,2401,44,34,1,2,0.8648049584,2
38,-31.78,1.01,0,2 - High School,1,3343,61,40,0,1,1.7334365885,1
39,-14.22,0.98,0,2 - High School,3,3985,75,31,0,1,0.8014411052,1
40,-1.55,0.96,0,3 - BSc/MSc,1,3858,78,36,0,1,1.182604989,1
41,121.36,0.84,1,2 - High School,4,1177,21,22,0,2,1.4462715031,2
42,402.63,0.47,1,3 - BSc/MSc,1,3256,61,28,0,1,1.0928949841,1
43,710.8,0.19,1,2 - High School,4,2116,48,22,0,3,1.4496117621,3
44,-77.01,1.07,1,2 - High School,2,1353,34,22,0,2,1.4204601602,2
45,-128.68,1.19,1,3 - BSc/MSc,1,1065,26,31,1,2,0.9533682061,2
46,624.34,0.38,1,3 - BSc/MSc,3,1937,32,25,0,3,0.9148788212,3
47,-94.9,1.08,1,3 - BSc/MSc,4,1219,30,40,0,2,1.6214350704,2
48,279.28,0.63,0,2 - High School,3,4233,78,39,0,1,1.7130103164,1
49,-132.88,1.2,1,3 - BSc/MSc,3,2381,42,31,1,2,0.9384329022,2
50,-21.11,0.99,1,2 - High School,1,2660,38,30,0,2,0.9669486528,2
51,420.64,0.32,1,3 - BSc/MSc,4,1569,37,33,0,3,0.8354124514,3
53,-104.21,1.14,1,3 - BSc/MSc,3,1960,32,30,1,2,0.6064659242,2
54,-11.33,0.98,1,2 - High School,1,1148,36,33,0,2,0.7396140877,2
55,264.5,0.59,0,3 - BSc/MSc,3,3441,70,23,0,1,1.1031187292,1
56,-15.22,0.98,1,3 - BSc/MSc,2,2885,50,21,1,1,1.5520728844,1
57,540.55,0.13,1,3 - BSc/MSc,4,2234,51,21,0,3,1.3730186341,3
58,294.94,0.66,0,2 - High School,4,3538,67,24,0,1,1.0352243312,1
59,448.98,0.41,1,2 - High School,2,2920,60,38,0,3,1.4499385212,3
60,120.48,0.81,1,2 - High School,3,2195,32,19,0,2,1.8300568279,2
61,226.93,0.68,1,3 - BSc/MSc,4,4109,73,33,0,1,0.8848865299,1
62,224.5,0.68,1,2 - High School,1,1823,38,23,0,2,1.3514309952,2
63,-67.32,1.08,1,3 - BSc/MSc,3,3762,59,35,1,1,1.1867817618,1
64,314.51,0.61,1,2 - High School,4,3259,49,29,0,1,0.7416414304,1
65,-124.32,1.19,0,3 - BSc/MSc,3,2294,43,34,2,2,1.0026134935,2
66,132.27,0.78,0,3 - BSc/MSc,1,3760,75,18,1,1,1.7587371485,1
67,-25,1,1,3 - BSc/MSc,3,2544,48,32,0,2,0.8841184717,2
68,-90.01,1.06,1,2 - High School,1,1866,32,27,0,2,0.7416873998,2
69,476.65,0.33,1,2 - High School,4,1399,39,33,0,3,0.9141016175,3
70,316.98,0.36,1,3 - BSc/MSc,4,2119,32,27,1,3,0.8817144463,3
71,83.9,0.84,0,2 - High School,2,3382,64,22,0,1,1.1597455396,1
72,195.82,0.72,1,3 - BSc/MSc,4,1159,27,31,0,2,0.8581356347,2
73,-25,1,1,3 - BSc/MSc,4,3206,65,26,0,1,0.8810318523,1
74,272.61,0.63,1,2 - High School,1,2336,60,23,0,3,1.419917563,3
75,-25,1,1,2 - High School,1,1440,36,31,0,2,0.4024214742,2
76,234.83,0.66,1,3 - BSc/MSc,4,2934,60,20,0,1,1.5966635734,1
77,747.03,0.2,0,3 - BSc/MSc,4,4196,67,20,0,3,2.7253480474,3
78,74.45,0.85,1,2 - High School,4,3284,54,32,0,1,0.5073721243,1
79,-50.31,1.04,1,4 - PhD,3,3091,65,38,2,1,1.5439503553,1
80,352.96,0.42,0,3 - BSc/MSc,4,3901,68,38,0,1,1.5933273491,1
81,14.34,0.95,1,1 - Basic,4,2318,55,36,0,2,1.0241895104,2
82,274.19,0.46,1,2 - High School,3,1431,34,30,1,2,0.9780303038,2
83,308.31,0.35,1,2 - High School,2,3234,54,24,1,1,1.1022828667,1
84,423.53,0.33,1,3 - BSc/MSc,1,1792,31,21,0,3,1.4579439453,3
85,-47.67,1.03,1,2 - High School,3,2656,57,19,0,1,1.9485572906,1
86,317.83,0.61,0,3 - BSc/MSc,3,2479,48,40,0,3,1.7169521297,3
87,-19.22,0.99,1,3 - BSc/MSc,4,1631,28,22,0,2,1.3116313037,2
