CustID,CustMonVal,ClaimsRate,IMP_Children,IMP_EducDeg,IMP_GeoLivArea,IMP_MonthSal,age,policy_time,reversals,_SEGMENT_,Distance,EM_SEGMENT
52,-14714.08,25.36,1,3 - BSc/MSc,4,3234,50,34,1,2,57.787245456,2
113,-8719.04,15.65,1,4 - PhD,1,2354,37,19,0,2,34.34078963,2
136,-10198.91,14.8,1,3 - BSc/MSc,4,2176,28,19,1,2,40.125691067,2
172,-165680.42,256.2,1,3 - BSc/MSc,4,1086,27,26,0,2,648.88211341,2
656,-64891,96,1,3 - BSc/MSc,3,3279,53,42,0,2,254.24596623,2
676,-52382.76,63,0,2 - High School,1,4435,79,22,0,2,205.28085984,2
708,-28945.4,35,1,3 - BSc/MSc,1,1634,25,25,0,2,113.49140512,2
759,-10107.37,12.6,1,3 - BSc/MSc,1,1117,24,28,0,2,39.733891827,2
794,-7851.17,13.9,1,3 - BSc/MSc,3,1370,33,36,0,2,30.906302681,2
918,-26130.45,32.3,0,2 - High School,4,3355,64,30,0,2,102.47941112,2
952,-2642.91,5.6,1,3 - BSc/MSc,3,1586,40,18,3,2,10.66998677,2
983,-6115.85,9.87,1,2 - High School,3,1771,35,27,0,2,24.10384037,2
1026,-2082.83,4.36,1,3 - BSc/MSc,1,4566,77,28,0,1,8.7628017967,1
2044,1716,0.11,0,1 - Basic,3,1089,20,21,0,3,5.0405231204,3
2324,2054.07,0.03,1,1 - Basic,3,782,19,32,0,3,6.2193135486,3
4374,1801.45,0.1,1,1 - Basic,4,1133,23,40,0,3,5.3857553717,3
4749,1571.76,0.12,1,1 - Basic,4,870,22,37,0,3,4.4924162286,3
5085,2314.21,0.14,0,2 - High School,3,3330,57,22,0,3,7.2682024277,3
5294,11875.89,0.09,1,3 - BSc/MSc,3,3564,53,27,0,3,44.532178995,3
5883,122.25,0.79,1,2 - High School,4,55215,60,21,0,1,52.659372919,1
6702,4328.5,0.03,0,3 - BSc/MSc,4,2947,65,21,0,3,15.038094806,3
6743,1634.97,0.17,0,1 - Basic,1,1482,19,29,0,3,4.4661860026,3
7086,5596.84,0.01,1,3 - BSc/MSc,3,2460,53,24,1,3,19.944277459,3
7196,146.02,0.77,0,3 - BSc/MSc,4,2830,988,23,0,1,1.2000894547,1
8262,608.89,0.28,0,2 - High School,4,34490,25,35,0,1,31.608843454,1
8367,1891.04,0.09,1,1 - Basic,1,1094,21,35,0,3,5.5720220628,3
8668,1997.6,0.05,0,1 - Basic,1,1421,19,35,0,3,5.9261097826,3
9236,1691.43,0.15,1,1 - Basic,4,566,18,19,0,3,5.1847069572,3
9295,348.85,0.37,0,3 - BSc/MSc,1,3268,68,-51768,0,1,7846.9672622,1
9649,-37327.08,69,0,3 - BSc/MSc,3,3574,66,26,1,2,146.32068597,2
